Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-2,1269.7276315789475,1380.421052631579,843.1947368421053,769.603947368421,810.1092105263158,810.8276315789474,815.7881578947369,824.1776315789474,875.328947368421,1117.65,1757.1184210526317,2331.040789473684,2505.061842105263,2475.3368421052633,2134.1,1890.371052631579,1780.832894736842,1613.592105263158,1503.8486842105262,1321.7763157894738,1097.6381578947369,918.9236842105263,984.6605263157895,1987.0302631578948,3993.8473684210526,5351.921052631579,6085.15,6316.030263157894,6369.851315789474,6352.327631578947,6383.630263157895,6401.323684210526,6437.46447368421,6442.73552631579,6490.113157894737,6516.153947368421,6510.615789473684,6557.023684210526,6581.9592105263155,6564.796052631579,6516.861842105263,6454.880263157895,6449.8026315789475,6053.859210526316,6075.855263157895,5971.55
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-3,1562.3663157894737,1489.3526315789475,819.9442105263158,784.6021052631579,739.1115789473685,761.9884210526316,770.5589473684211,774.5315789473684,848.4852631578948,1189.398947368421,2005.6263157894737,2678.2684210526318,2897.7136842105265,2868.1726315789474,2480.3884210526317,2182.3547368421055,2050.577894736842,1835.9073684210525,1681.0947368421052,1461.4305263157894,1148.137894736842,869.3221052631579,911.4305263157895,2256.501052631579,4369.531578947369,5670.784210526316,6324.123157894737,6495.88,6561.4157894736845,6533.992631578947,6541.573684210526,6580.922105263158,6624.692631578947,6652.696842105263,6708.555789473684,6730.551578947368,6729.408421052632,6753.601052631579,6788.535789473684,6791.16,6780.614736842105,6675.84947368421,6619.701052631579,6318.296842105263,6188.746315789474,6104.965263157895
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-4,1693.30547112462,1487.609422492401,880.7689969604863,885.1534954407294,813.6403242147923,856.886524822695,842.3662613981763,862.1023302938197,914.4868287740628,1171.4655521783181,1854.6246200607902,2469.2836879432625,2655.7816616008104,2624.678824721378,2258.210233029382,1989.954407294833,1879.4417426545085,1690.499493414387,1571.6823708206687,1384.258358662614,1148.3135764944275,949.0222897669706,1005.8171225937183,2054.3328267477204,4124.4387031408305,5555.958459979736,6314.220364741642,6555.447821681864,6618.026342451874,6616.555217831814,6610.102330293819,6662.4052684903745,6675.2608915906785,6716.91641337386,6755.2725430597775,6763.719351570416,6808.991894630192,6839.482776089159,6819.3242147923,6812.434650455927,6818.776595744681,6740.646909827761,6610.122593718338,6421.844984802432,6271.158054711246,6111.713779128673
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1-5,1837.576923076923,1506.9541420118344,1014.3239644970414,895.6220414201183,841.1605029585799,913.1102071005918,908.6789940828403,922.1494082840237,1003.4245562130177,1361.762573964497,2215.0473372781066,2929.332100591716,3144.744822485207,3113.1139053254437,2687.780325443787,2376.5599112426034,2240.046597633136,2011.8860946745563,1858.323224852071,1626.3727810650887,1301.2832840236686,1014.4881656804733,1056.6560650887575,2439.6079881656806,4702.343934911242,6165.57100591716,6962.4792899408285,7206.012573964497,7270.330621301775,7270.10650887574,7276.676775147929,7314.855029585799,7347.712278106509,7391.67825443787,7420.817307692308,7447.4778106508875,7479.859467455622,7514.531065088758,7517.859467455622,7551.480029585799,7549.926775147929,7468.329881656805,7361.943047337278,7078.244082840237,6896.085798816568,6827.025887573965
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-1,1471.601851851852,1387.873015873016,745.5462962962963,573.5066137566138,552.2420634920635,569.7936507936508,580.6838624338625,573.3412698412699,621.9007936507936,835.9603174603175,1415.1772486772486,1934.4656084656085,2106.9246031746034,2056.6031746031745,1712.202380952381,1465.4246031746031,1375.1891534391534,1194.7010582010582,1083.1283068783068,963.4126984126984,776.925925925926,597.2632275132275,640.0079365079365,1441.686507936508,3214.3888888888887,4569.830687830688,5351.06746031746,5635.156084656084,5679.48544973545,5756.966931216931,5741.871693121693,5763.076719576719,5812.464285714285,5806.76455026455,5856.7817460317465,5835.510582010582,5832.621693121693,5895.005291005291,5871.902116402116,5851.62037037037,5914.53835978836,5811.4140211640215,5768.518518518518,5516.736772486773,5386.231481481482,5314.425925925926
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-3,1328.5436950146627,1145.3912023460412,604.7049853372434,450.69853372434017,427.2,439.27683284457476,448.3348973607038,449.35718475073315,497.3777126099707,720.4228739002932,1300.624046920821,1847.2217008797654,2023.5941348973606,1972.0316715542522,1597.7360703812317,1351.3782991202347,1252.208797653959,1071.123753665689,963.4651026392962,844.9994134897361,650.5149560117302,485.5765395894428,534.3824046920821,1346.0035190615836,3290.0709677419354,4899.5577712609975,5902.106158357771,6252.2850439882695,6354.0123167155425,6362.946627565982,6372.453372434017,6393.447507331378,6410.047507331378,6424.405278592375,6440.9131964809385,6457.096774193548,6467.41348973607,6464.985923753666,6459.660410557185,6488.699120234604,6435.26275659824,6338.363049853372,6144.170087976539,5973.6979472140765,5950.452199413489,5740.2768328445745
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2-5,1493.304347826087,1126.74016563147,619.2406832298136,462.351966873706,410.83850931677017,447.91407867494826,460.3861283643892,460.6511387163561,507.8840579710145,752.5610766045548,1374.4565217391305,1927.30900621118,2109.6407867494822,2065.7603519668737,1708.459109730849,1453.527950310559,1349.5812629399586,1164.1371635610767,1046.5998964803312,904.2670807453416,692.0310559006211,498.99378881987576,526.6589026915113,1435.4513457556936,3309.7976190476193,4630.993271221532,5382.438923395445,5622.344202898551,5696.174948240166,5725.508799171843,5743.974637681159,5751.340062111802,5791.274844720497,5790.280020703934,5808.3866459627325,5817.039855072464,5820.824016563147,5848.003105590062,5834.060559006211,5811.041925465838,5800.356107660456,5749.241200828157,5652.548136645963,5453.046583850932,5374.294513457557,5279.16149068323
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-3,1402.373873873874,1161.4179869524696,705.1991301646474,529.6882572227399,485.89033861447655,496.047064305685,492.17179248213733,490.31950916433675,508.4467225846536,617.1480273376825,980.4144144144144,1378.5770425598012,1505.2590866728797,1454.3718546132338,1159.2587760173967,977.3179558869214,909.5386766076422,790.2246039142591,723.2350108729419,656.0201926063995,562.6688412550482,501.2214973594284,545.5080770425598,960.2374961168065,2475.6581236408824,4048.942994718857,5113.90789064927,5488.150201926064,5602.851817334576,5627.658434296365,5648.207673190432,5680.477788132961,5698.60826343585,5715.512581547065,5737.110593351973,5751.511804908357,5776.140882261572,5782.083876980429,5790.384902143523,5780.140571606089,5762.382416899658,5702.110438024231,5594.160298229263,5442.324013668841,5381.196955576266,5283.995495495496
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3-5,1315.7830917874396,1149.4526570048308,617.3545893719806,392.03236714975844,328.151690821256,355.25845410628017,346.619806763285,356.468115942029,380.30193236714973,540.5458937198067,1010.9589371980676,1494.4565217391305,1646.5222222222221,1589.2980676328502,1247.783574879227,1029.5555555555557,951.7792270531401,797.0144927536232,705.6729468599034,621.4227053140097,482.112077294686,384.61256038647343,447.9975845410628,1033.1541062801932,2835.35845410628,4518.644444444444,5642.010628019324,6004.8207729468595,6095.319323671498,6107.91690821256,6123.278260869565,6156.92077294686,6185.013526570048,6218.591787439614,6267.443961352657,6296.279710144928,6310.085990338164,6315.102898550725,6334.980193236715,6332.973913043478,6277.469565217391,6230.823671497585,6038.057971014493,5882.640579710145,5801.686473429952,5693.7700483091785
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4-1,1412.2820754716981,1244.0278301886792,769.4155660377359,701.2018867924528,622.6783018867925,624.7566037735849,613.8839622641509,613.3839622641509,629.8377358490566,692.1330188679245,958.597641509434,1303.3485849056603,1418.957075471698,1361.5004716981132,1096.1325471698112,951.313679245283,895.2617924528302,806.0952830188679,756.2084905660378,713.3905660377359,657.8985849056604,622.8051886792452,685.7188679245284,977.5764150943396,2467.372169811321,4362.214150943396,5777.796698113208,6342.225471698113,6484.897169811321,6503.825943396227,6495.441037735849,6522.692452830189,6546.9816037735845,6572.115094339622,6609.6801886792455,6621.280660377359,6634.704245283019,6687.258962264151,6665.679245283019,6682.709905660377,6641.170754716981,6594.021698113207,6409.561320754717,6204.641981132076,6058.276415094339,6043.2683962264155
